Num,Derivative,Filename,BaseFileName,ZoomLevel,ColorIteration,Palette,Blur,Tint,Gradient Type,Gradient Slice Type
12,1,Innoculation-1a-c1-z1.png,Innoculation-1a.png,1,1,FFF836C8;FF0170DE;FFEBEDAD;FF57FA74,8.074594,32,0,0
13,1,Innoculation-1a-c1-z1.png,Innoculation-1a.png,1,1,FFFFFFFF;FF000000,8.074594,32,0,0
14,1,Innoculation-1a-c1-z1.png,Innoculation-1a.png,1,1,FFFFFF00;FF2277FF,8.074594,32,0,0
